antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
amt_deviation_dev_NORMAL,"amt_amt_LOW, fraud_FRAUD",0.12478264848540313,0.08259357554681065,0.052759220280040264,0.4228089475614228,5.119150548480517,1.0,0.04245297517543,1.5894328586301443,0.919377442902195,0.34122521456052085,0.37084476732043165,0.530795055498163
amt_amt_LOW,"amt_deviation_dev_NORMAL, fraud_FRAUD",0.2211036881120161,0.052759220280040264,0.052759220280040264,0.23861754966887416,4.522764900662252,1.0,0.04109396209420908,1.2441064005454867,0.9999999999999998,0.23861754966887413,0.19621022803070265,0.619308774834437
amt_deviation_dev_HIGH,"amt_amt_HIGH, fraud_FRAUD",0.19621121991397455,0.07280131783655167,0.0592568866111467,0.30200559701492535,4.148353436306837,1.0,0.0449724512270919,1.3283755259327987,0.9442039003919909,0.28250436300174514,0.24720082500933616,0.5579795426935092
amt_amt_HIGH,"amt_deviation_dev_HIGH, fraud_FRAUD",0.24306763063969983,0.0592568866111467,0.0592568866111467,0.24378765060240964,4.114081325301205,1.0,0.044853455583489917,1.2440197705555363,1.0,0.24378765060240962,0.19615425440269763,0.6218938253012049
velocity_24h_vel24h_VHIGH,"failed_txns_fail_LOW, fraud_FRAUD",0.16944266495836002,0.10391690308410359,0.05143223208565938,0.30353767215771,2.9209653400856865,1.0,0.03382427509286924,1.2866210577276327,0.7918146035109582,0.23175257731958762,0.2227703767213703,0.3992369118164155
"failed_txns_fail_LOW, velocity_24h_vel24h_VHIGH",fraud_FRAUD,0.057746865562368445,0.3136267960098838,0.05143223208565938,0.8906497622820919,2.8398394959020767,1.0,0.033321267659720266,6.276833213300918,0.6875725845921575,0.16075514874141875,0.8406839936608558,0.5273207959353267
velocity_24h_vel24h_VHIGH,"amt_amt_HIGH, fraud_FRAUD",0.16944266495836002,0.07280131783655167,0.03473048412189988,0.20496894409937885,2.8154565080753144,1.0,0.022394834815193977,1.1662420924087122,0.7763676097652188,0.1673649393605292,0.1425450971893513,0.3410136989510093
"amt_amt_LOW, velocity_24h_vel24h_VHIGH",fraud_FRAUD,0.04122815045300632,0.3136267960098838,0.03614898874347945,0.8768035516093228,2.7956908107484884,1.0,0.02321873601148964,5.571371682838683,0.6699264840477813,0.113424264178033,0.8205109877913425,0.49603235648747435
"merch_risk_mrisk_HIGH, velocity_24h_vel24h_VHIGH",fraud_FRAUD,0.0490070467648943,0.3136267960098838,0.04237210579298984,0.8646125116713352,2.7568196425540354,1.0,0.0270021827342095,5.069694492920101,0.6701029427918584,0.13230461494499213,0.8027494553376907,0.49985805040818
velocity_24h_vel24h_VHIGH,"fraud_FRAUD, ip_risk_ip_HIGH",0.16944266495836002,0.06699002470943534,0.031115585247551935,0.18363489062921956,2.74122739058126,1.0,0.019764616935158824,1.1428832082371687,0.7647875501916925,0.15154891909962112,0.12501995585144504,0.32405788247307976
velocity_24h_vel24h_VHIGH,"fraud_FRAUD, geo_dist_geo_NEAR",0.16944266495836002,0.08556785943076782,0.039489338336231354,0.23305428031325953,2.7236193807304674,1.0,0.024990492199499715,1.1923035973689673,0.761948002443516,0.1832271762208068,0.16128744205194023,0.34727580325823404
velocity_24h_vel24h_VHIGH,"channel_ch_card, fraud_FRAUD",0.16944266495836002,0.15791159513132608,0.07252676855495561,0.4280313259519309,2.710575658462329,1.0,0.045769807048078134,1.4722631554432006,0.7598207257831994,0.28461124079727057,0.3207736019862793,0.4436592445465247
"device_dev_desktop, velocity_24h_vel24h_VHIGH",fraud_FRAUD,0.0407705683170129,0.3136267960098838,0.03459320948110186,0.8484848484848485,2.705396539070306,1.0,0.021806466768335024,4.530063146334768,0.6571612569084305,0.10816998139934181,0.7792525252525251,0.4793927014528123
"ip_risk_ip_HIGH, velocity_24h_vel24h_VHIGH",fraud_FRAUD,0.03669808730667155,0.3136267960098838,0.031115585247551935,0.8478802992518704,2.703468931988674,1.0,0.01960608170586955,4.512059914754699,0.6541094321064925,0.09747706422018347,0.7783717373233583,0.4735462190744324
"channel_ch_card, velocity_24h_vel24h_VHIGH",fraud_FRAUD,0.08556785943076782,0.3136267960098838,0.07252676855495561,0.8475935828877005,2.702554735983047,1.0,0.045690394960259784,4.503571548987779,0.6889300083600003,0.2220198907410001,0.7779540106951869,0.5394227033201269
velocity_24h_vel24h_VHIGH,"fraud_FRAUD, geo_dist_geo_MOD",0.16944266495836002,0.12016106891186969,0.05495561453280864,0.3243316230083716,2.69914062803692,1.0,0.03459520279213629,1.3021756841803942,0.7579388946028714,0.234204368174727,0.23205446688292872,0.39084060206016447
velocity_24h_vel24h_VHIGH,"fraud_FRAUD, intl_domestic",0.16944266495836002,0.2615081907202343,0.11924590463988285,0.7037537132055091,2.6911344966567268,1.0,0.07493525989580728,2.4928306014247696,0.7566118296529502,0.3825601879036994,0.5988495971493398,0.5798733570401998
"geo_dist_geo_NEAR, velocity_24h_vel24h_VHIGH",fraud_FRAUD,0.046810652512125926,0.3136267960098838,0.039489338336231354,0.8435972629521017,2.6898124576240487,1.0,0.024808263369721282,4.3884986730118065,0.6590787762667425,0.12303963501568292,0.7721316389703485,0.48475456961436425
velocity_24h_vel24h_VHIGH,"fraud_FRAUD, velocity_1h_vel1h_LOW",0.16944266495836002,0.11146700832799487,0.0507916170952686,0.299756953821226,2.689198878821459,1.0,0.03190435014923744,1.2688922746476803,0.7562898031081602,0.22071982501491352,0.21191103454573454,0.377710989225884
